Irrep 	 alpha 	 beta 	 coefficient 	  p^1 	 p^2 	 q
E	2	1	-0.250000+0.000000*I	"(-1, 0, 0)"	"(0, 0, 0)"	"(0.000000, 0.000000, 0.500000)"
E	2	1	0.250000+0.000000*I	"(-1, 0, 0)"	"(0, 0, 0)"	"(0.000000, 0.000000, 0.500000)"
E	2	1	0.000000+0.250000*I	"(-1, 0, 0)"	"(0, 0, 0)"	"(0.000000, 0.000000, 0.500000)"
E	2	1	0.000000-0.250000*I	"(-1, 0, 0)"	"(0, 0, 0)"	"(0.000000, 0.000000, 0.500000)"
E	2	1	-0.250000+0.000000*I	"(-2, 0, 0)"	"(1, 0, 0)"	"(0.000000, 0.000000, 1.500000)"
E	2	1	0.250000+0.000000*I	"(-2, 0, 0)"	"(1, 0, 0)"	"(0.000000, 0.000000, 1.500000)"
E	2	1	0.000000+0.250000*I	"(-2, 0, 0)"	"(1, 0, 0)"	"(0.000000, 0.000000, 1.500000)"
E	2	1	0.000000-0.250000*I	"(-2, 0, 0)"	"(1, 0, 0)"	"(0.000000, 0.000000, 1.500000)"
E	2	1	-0.250000+0.000000*I	"(0, 0, 0)"	"(-1, 0, 0)"	"(0.000000, 0.000000, -0.500000)"
E	2	1	0.250000+0.000000*I	"(0, 0, 0)"	"(-1, 0, 0)"	"(0.000000, 0.000000, -0.500000)"
E	2	1	0.000000+0.250000*I	"(0, 0, 0)"	"(-1, 0, 0)"	"(0.000000, 0.000000, -0.500000)"
E	2	1	0.000000-0.250000*I	"(0, 0, 0)"	"(-1, 0, 0)"	"(0.000000, 0.000000, -0.500000)"
E	2	1	-0.250000+0.000000*I	"(-1, 1, 0)"	"(0, -1, 0)"	"(0.000000, 1.000000, 0.500000)"
E	2	1	0.250000+0.000000*I	"(-1, -1, 0)"	"(0, 1, 0)"	"(0.000000, 1.000000, 0.500000)"
E	2	1	0.000000+0.250000*I	"(-1, 0, 1)"	"(0, 0, -1)"	"(0.000000, 1.000000, 0.500000)"
E	2	1	0.000000-0.250000*I	"(-1, 0, -1)"	"(0, 0, 1)"	"(0.000000, 1.000000, 0.500000)"
E	2	1	-0.250000+0.000000*I	"(-1, -1, 0)"	"(0, 1, 0)"	"(0.000000, -1.000000, 0.500000)"
E	2	1	0.250000+0.000000*I	"(-1, 1, 0)"	"(0, -1, 0)"	"(0.000000, -1.000000, 0.500000)"
E	2	1	0.000000+0.250000*I	"(-1, 0, -1)"	"(0, 0, 1)"	"(0.000000, -1.000000, 0.500000)"
E	2	1	0.000000-0.250000*I	"(-1, 0, 1)"	"(0, 0, -1)"	"(0.000000, -1.000000, 0.500000)"
E	2	1	-0.250000+0.000000*I	"(0, 1, 0)"	"(-1, -1, 0)"	"(0.000000, 1.000000, -0.500000)"
E	2	1	0.250000+0.000000*I	"(0, -1, 0)"	"(-1, 1, 0)"	"(0.000000, 1.000000, -0.500000)"
E	2	1	0.000000+0.250000*I	"(0, 0, 1)"	"(-1, 0, -1)"	"(0.000000, 1.000000, -0.500000)"
E	2	1	0.000000-0.250000*I	"(0, 0, -1)"	"(-1, 0, 1)"	"(0.000000, 1.000000, -0.500000)"
E	2	1	-0.250000+0.000000*I	"(0, -1, 0)"	"(-1, 1, 0)"	"(0.000000, -1.000000, -0.500000)"
E	2	1	0.250000+0.000000*I	"(0, 1, 0)"	"(-1, -1, 0)"	"(0.000000, -1.000000, -0.500000)"
E	2	1	0.000000+0.250000*I	"(0, 0, -1)"	"(-1, 0, 1)"	"(0.000000, -1.000000, -0.500000)"
E	2	1	0.000000-0.250000*I	"(0, 0, 1)"	"(-1, 0, -1)"	"(0.000000, -1.000000, -0.500000)"
E	2	1	-0.250000+0.000000*I	"(1, 0, 0)"	"(-2, 0, 0)"	"(0.000000, 0.000000, -1.500000)"
E	2	1	0.250000+0.000000*I	"(1, 0, 0)"	"(-2, 0, 0)"	"(0.000000, 0.000000, -1.500000)"
E	2	1	0.000000+0.250000*I	"(1, 0, 0)"	"(-2, 0, 0)"	"(0.000000, 0.000000, -1.500000)"
E	2	1	0.000000-0.250000*I	"(1, 0, 0)"	"(-2, 0, 0)"	"(0.000000, 0.000000, -1.500000)"
