Irrep 	 alpha 	 beta 	 name 	 coefficient 	  p^1 	 p^2 	 q
A1	1	1	E	1/8	"(1, 0, 0)"	"(0, 0, 0)"	"(0.000000, 0.000000, 0.500000)"
A1	1	1	C2x	1/8	"(1, 0, 0)"	"(0, 0, 0)"	"(0.000000, 0.000000, 0.500000)"
A1	1	1	C4x-	1/8	"(1, 0, 0)"	"(0, 0, 0)"	"(0.000000, 0.000000, 0.500000)"
A1	1	1	C4x+	1/8	"(1, 0, 0)"	"(0, 0, 0)"	"(0.000000, 0.000000, 0.500000)"
A1	1	1	sigma_z	1/8	"(1, 0, 0)"	"(0, 0, 0)"	"(0.000000, 0.000000, 0.500000)"
A1	1	1	sigma_y	1/8	"(1, 0, 0)"	"(0, 0, 0)"	"(0.000000, 0.000000, 0.500000)"
A1	1	1	sigma_d6	1/8	"(1, 0, 0)"	"(0, 0, 0)"	"(0.000000, 0.000000, 0.500000)"
A1	1	1	sigma_d4	1/8	"(1, 0, 0)"	"(0, 0, 0)"	"(0.000000, 0.000000, 0.500000)"
A1	1	1	E	1/8	"(2, 0, 0)"	"(-1, 0, 0)"	"(0.000000, 0.000000, 1.500000)"
A1	1	1	C2x	1/8	"(2, 0, 0)"	"(-1, 0, 0)"	"(0.000000, 0.000000, 1.500000)"
A1	1	1	C4x-	1/8	"(2, 0, 0)"	"(-1, 0, 0)"	"(0.000000, 0.000000, 1.500000)"
A1	1	1	C4x+	1/8	"(2, 0, 0)"	"(-1, 0, 0)"	"(0.000000, 0.000000, 1.500000)"
A1	1	1	sigma_z	1/8	"(2, 0, 0)"	"(-1, 0, 0)"	"(0.000000, 0.000000, 1.500000)"
A1	1	1	sigma_y	1/8	"(2, 0, 0)"	"(-1, 0, 0)"	"(0.000000, 0.000000, 1.500000)"
A1	1	1	sigma_d6	1/8	"(2, 0, 0)"	"(-1, 0, 0)"	"(0.000000, 0.000000, 1.500000)"
A1	1	1	sigma_d4	1/8	"(2, 0, 0)"	"(-1, 0, 0)"	"(0.000000, 0.000000, 1.500000)"
A1	1	1	E	1/8	"(0, 0, 0)"	"(1, 0, 0)"	"(0.000000, 0.000000, -0.500000)"
A1	1	1	C2x	1/8	"(0, 0, 0)"	"(1, 0, 0)"	"(0.000000, 0.000000, -0.500000)"
A1	1	1	C4x-	1/8	"(0, 0, 0)"	"(1, 0, 0)"	"(0.000000, 0.000000, -0.500000)"
A1	1	1	C4x+	1/8	"(0, 0, 0)"	"(1, 0, 0)"	"(0.000000, 0.000000, -0.500000)"
A1	1	1	sigma_z	1/8	"(0, 0, 0)"	"(1, 0, 0)"	"(0.000000, 0.000000, -0.500000)"
A1	1	1	sigma_y	1/8	"(0, 0, 0)"	"(1, 0, 0)"	"(0.000000, 0.000000, -0.500000)"
A1	1	1	sigma_d6	1/8	"(0, 0, 0)"	"(1, 0, 0)"	"(0.000000, 0.000000, -0.500000)"
A1	1	1	sigma_d4	1/8	"(0, 0, 0)"	"(1, 0, 0)"	"(0.000000, 0.000000, -0.500000)"
A1	1	1	E	1/8	"(1, 1, 0)"	"(0, -1, 0)"	"(0.000000, 1.000000, 0.500000)"
A1	1	1	C2x	1/8	"(1, -1, 0)"	"(0, 1, 0)"	"(0.000000, 1.000000, 0.500000)"
A1	1	1	C4x-	1/8	"(1, 0, -1)"	"(0, 0, 1)"	"(0.000000, 1.000000, 0.500000)"
A1	1	1	C4x+	1/8	"(1, 0, 1)"	"(0, 0, -1)"	"(0.000000, 1.000000, 0.500000)"
A1	1	1	sigma_z	1/8	"(1, 1, 0)"	"(0, -1, 0)"	"(0.000000, 1.000000, 0.500000)"
A1	1	1	sigma_y	1/8	"(1, -1, 0)"	"(0, 1, 0)"	"(0.000000, 1.000000, 0.500000)"
A1	1	1	sigma_d6	1/8	"(1, 0, 1)"	"(0, 0, -1)"	"(0.000000, 1.000000, 0.500000)"
A1	1	1	sigma_d4	1/8	"(1, 0, -1)"	"(0, 0, 1)"	"(0.000000, 1.000000, 0.500000)"
A1	1	1	E	1/8	"(1, -1, 0)"	"(0, 1, 0)"	"(0.000000, -1.000000, 0.500000)"
A1	1	1	C2x	1/8	"(1, 1, 0)"	"(0, -1, 0)"	"(0.000000, -1.000000, 0.500000)"
A1	1	1	C4x-	1/8	"(1, 0, 1)"	"(0, 0, -1)"	"(0.000000, -1.000000, 0.500000)"
A1	1	1	C4x+	1/8	"(1, 0, -1)"	"(0, 0, 1)"	"(0.000000, -1.000000, 0.500000)"
A1	1	1	sigma_z	1/8	"(1, -1, 0)"	"(0, 1, 0)"	"(0.000000, -1.000000, 0.500000)"
A1	1	1	sigma_y	1/8	"(1, 1, 0)"	"(0, -1, 0)"	"(0.000000, -1.000000, 0.500000)"
A1	1	1	sigma_d6	1/8	"(1, 0, -1)"	"(0, 0, 1)"	"(0.000000, -1.000000, 0.500000)"
A1	1	1	sigma_d4	1/8	"(1, 0, 1)"	"(0, 0, -1)"	"(0.000000, -1.000000, 0.500000)"
A1	1	1	E	1/8	"(1, 0, -1)"	"(0, 0, 1)"	"(1.000000, 0.000000, 0.500000)"
A1	1	1	C2x	1/8	"(1, 0, 1)"	"(0, 0, -1)"	"(1.000000, 0.000000, 0.500000)"
A1	1	1	C4x-	1/8	"(1, -1, 0)"	"(0, 1, 0)"	"(1.000000, 0.000000, 0.500000)"
A1	1	1	C4x+	1/8	"(1, 1, 0)"	"(0, -1, 0)"	"(1.000000, 0.000000, 0.500000)"
A1	1	1	sigma_z	1/8	"(1, 0, 1)"	"(0, 0, -1)"	"(1.000000, 0.000000, 0.500000)"
A1	1	1	sigma_y	1/8	"(1, 0, -1)"	"(0, 0, 1)"	"(1.000000, 0.000000, 0.500000)"
A1	1	1	sigma_d6	1/8	"(1, -1, 0)"	"(0, 1, 0)"	"(1.000000, 0.000000, 0.500000)"
A1	1	1	sigma_d4	1/8	"(1, 1, 0)"	"(0, -1, 0)"	"(1.000000, 0.000000, 0.500000)"
A1	1	1	E	1/8	"(1, 0, 1)"	"(0, 0, -1)"	"(-1.000000, 0.000000, 0.500000)"
A1	1	1	C2x	1/8	"(1, 0, -1)"	"(0, 0, 1)"	"(-1.000000, 0.000000, 0.500000)"
A1	1	1	C4x-	1/8	"(1, 1, 0)"	"(0, -1, 0)"	"(-1.000000, 0.000000, 0.500000)"
A1	1	1	C4x+	1/8	"(1, -1, 0)"	"(0, 1, 0)"	"(-1.000000, 0.000000, 0.500000)"
A1	1	1	sigma_z	1/8	"(1, 0, -1)"	"(0, 0, 1)"	"(-1.000000, 0.000000, 0.500000)"
A1	1	1	sigma_y	1/8	"(1, 0, 1)"	"(0, 0, -1)"	"(-1.000000, 0.000000, 0.500000)"
A1	1	1	sigma_d6	1/8	"(1, 1, 0)"	"(0, -1, 0)"	"(-1.000000, 0.000000, 0.500000)"
A1	1	1	sigma_d4	1/8	"(1, -1, 0)"	"(0, 1, 0)"	"(-1.000000, 0.000000, 0.500000)"
A1	1	1	E	1/8	"(1, 1, -1)"	"(0, -1, 1)"	"(1.000000, 1.000000, 0.500000)"
A1	1	1	C2x	1/8	"(1, -1, 1)"	"(0, 1, -1)"	"(1.000000, 1.000000, 0.500000)"
A1	1	1	C4x-	1/8	"(1, -1, -1)"	"(0, 1, 1)"	"(1.000000, 1.000000, 0.500000)"
A1	1	1	C4x+	1/8	"(1, 1, 1)"	"(0, -1, -1)"	"(1.000000, 1.000000, 0.500000)"
A1	1	1	sigma_z	1/8	"(1, 1, 1)"	"(0, -1, -1)"	"(1.000000, 1.000000, 0.500000)"
A1	1	1	sigma_y	1/8	"(1, -1, -1)"	"(0, 1, 1)"	"(1.000000, 1.000000, 0.500000)"
A1	1	1	sigma_d6	1/8	"(1, -1, 1)"	"(0, 1, -1)"	"(1.000000, 1.000000, 0.500000)"
A1	1	1	sigma_d4	1/8	"(1, 1, -1)"	"(0, -1, 1)"	"(1.000000, 1.000000, 0.500000)"
A1	1	1	E	1/8	"(1, -1, -1)"	"(0, 1, 1)"	"(1.000000, -1.000000, 0.500000)"
A1	1	1	C2x	1/8	"(1, 1, 1)"	"(0, -1, -1)"	"(1.000000, -1.000000, 0.500000)"
A1	1	1	C4x-	1/8	"(1, -1, 1)"	"(0, 1, -1)"	"(1.000000, -1.000000, 0.500000)"
A1	1	1	C4x+	1/8	"(1, 1, -1)"	"(0, -1, 1)"	"(1.000000, -1.000000, 0.500000)"
A1	1	1	sigma_z	1/8	"(1, -1, 1)"	"(0, 1, -1)"	"(1.000000, -1.000000, 0.500000)"
A1	1	1	sigma_y	1/8	"(1, 1, -1)"	"(0, -1, 1)"	"(1.000000, -1.000000, 0.500000)"
A1	1	1	sigma_d6	1/8	"(1, -1, -1)"	"(0, 1, 1)"	"(1.000000, -1.000000, 0.500000)"
A1	1	1	sigma_d4	1/8	"(1, 1, 1)"	"(0, -1, -1)"	"(1.000000, -1.000000, 0.500000)"
A1	1	1	E	1/8	"(1, 1, 1)"	"(0, -1, -1)"	"(-1.000000, 1.000000, 0.500000)"
