Irrep 	 alpha 	 beta 	 name 	 coefficient 	  p^1 	 p^2 	 q
A1	1	1	E	1/4	"(0, 1, -1)"	"(0, 0, 0)"	"(0.500000, 0.500000, 0.000000)"
A1	1	1	C2f`	1/4	"(0, 1, -1)"	"(0, 0, 0)"	"(0.500000, 0.500000, 0.000000)"
A1	1	1	sigma_x	1/4	"(0, 1, -1)"	"(0, 0, 0)"	"(0.500000, 0.500000, 0.000000)"
A1	1	1	sigma_d4	1/4	"(0, 1, -1)"	"(0, 0, 0)"	"(0.500000, 0.500000, 0.000000)"
A1	1	1	E	1/4	"(-1, 1, -1)"	"(1, 0, 0)"	"(0.500000, 0.500000, 1.000000)"
A1	1	1	C2f`	1/4	"(1, 1, -1)"	"(-1, 0, 0)"	"(0.500000, 0.500000, 1.000000)"
A1	1	1	sigma_x	1/4	"(1, 1, -1)"	"(-1, 0, 0)"	"(0.500000, 0.500000, 1.000000)"
A1	1	1	sigma_d4	1/4	"(-1, 1, -1)"	"(1, 0, 0)"	"(0.500000, 0.500000, 1.000000)"
A1	1	1	E	1/4	"(1, 1, -1)"	"(-1, 0, 0)"	"(0.500000, 0.500000, -1.000000)"
A1	1	1	C2f`	1/4	"(-1, 1, -1)"	"(1, 0, 0)"	"(0.500000, 0.500000, -1.000000)"
A1	1	1	sigma_x	1/4	"(-1, 1, -1)"	"(1, 0, 0)"	"(0.500000, 0.500000, -1.000000)"
A1	1	1	sigma_d4	1/4	"(1, 1, -1)"	"(-1, 0, 0)"	"(0.500000, 0.500000, -1.000000)"
A1	1	1	E	1/4	"(0, 0, -1)"	"(0, 1, 0)"	"(0.500000, -0.500000, 0.000000)"
A1	1	1	C2f`	1/4	"(0, 1, 0)"	"(0, 0, -1)"	"(0.500000, -0.500000, 0.000000)"
A1	1	1	sigma_x	1/4	"(0, 0, -1)"	"(0, 1, 0)"	"(0.500000, -0.500000, 0.000000)"
A1	1	1	sigma_d4	1/4	"(0, 1, 0)"	"(0, 0, -1)"	"(0.500000, -0.500000, 0.000000)"
A1	1	1	E	1/4	"(0, 1, 0)"	"(0, 0, -1)"	"(-0.500000, 0.500000, 0.000000)"
A1	1	1	C2f`	1/4	"(0, 0, -1)"	"(0, 1, 0)"	"(-0.500000, 0.500000, 0.000000)"
A1	1	1	sigma_x	1/4	"(0, 1, 0)"	"(0, 0, -1)"	"(-0.500000, 0.500000, 0.000000)"
A1	1	1	sigma_d4	1/4	"(0, 0, -1)"	"(0, 1, 0)"	"(-0.500000, 0.500000, 0.000000)"
A1	1	1	E	1/4	"(0, 0, -2)"	"(0, 1, 1)"	"(1.500000, -0.500000, 0.000000)"
A1	1	1	C2f`	1/4	"(0, 2, 0)"	"(0, -1, -1)"	"(1.500000, -0.500000, 0.000000)"
A1	1	1	sigma_x	1/4	"(0, 0, -2)"	"(0, 1, 1)"	"(1.500000, -0.500000, 0.000000)"
A1	1	1	sigma_d4	1/4	"(0, 2, 0)"	"(0, -1, -1)"	"(1.500000, -0.500000, 0.000000)"
A1	1	1	E	1/4	"(0, 2, 0)"	"(0, -1, -1)"	"(-0.500000, 1.500000, 0.000000)"
A1	1	1	C2f`	1/4	"(0, 0, -2)"	"(0, 1, 1)"	"(-0.500000, 1.500000, 0.000000)"
A1	1	1	sigma_x	1/4	"(0, 2, 0)"	"(0, -1, -1)"	"(-0.500000, 1.500000, 0.000000)"
A1	1	1	sigma_d4	1/4	"(0, 0, -2)"	"(0, 1, 1)"	"(-0.500000, 1.500000, 0.000000)"
A1	1	1	E	1/4	"(0, 0, 0)"	"(0, 1, -1)"	"(-0.500000, -0.500000, 0.000000)"
A1	1	1	C2f`	1/4	"(0, 0, 0)"	"(0, 1, -1)"	"(-0.500000, -0.500000, 0.000000)"
A1	1	1	sigma_x	1/4	"(0, 0, 0)"	"(0, 1, -1)"	"(-0.500000, -0.500000, 0.000000)"
A1	1	1	sigma_d4	1/4	"(0, 0, 0)"	"(0, 1, -1)"	"(-0.500000, -0.500000, 0.000000)"
A1	1	1	E	1/4	"(-1, 1, 0)"	"(1, 0, -1)"	"(-0.500000, 0.500000, 1.000000)"
A1	1	1	C2f`	1/4	"(1, 0, -1)"	"(-1, 1, 0)"	"(-0.500000, 0.500000, 1.000000)"
